,threshold,label,precision,recall,f1
685,68.0,5.0,0.75,0.7358490566037735,0.7428571428571428
686,68.0,6.0,0.9272727272727272,0.9272727272727272,0.9272727272727272
687,68.0,7.0,0.8380952380952381,0.8979591836734694,0.8669950738916257
688,68.0,8.0,0.7948717948717948,0.6595744680851063,0.7209302325581396
689,68.0,9.0,0.8095238095238095,0.8095238095238095,0.8095238095238095
690,69.0,0.0,0.8876404494382022,0.9294117647058824,0.9080459770114941
691,69.0,1.0,0.9296875,0.967479674796748,0.9482071713147411
692,69.0,2.0,0.8804347826086957,0.801980198019802,0.839378238341969
693,69.0,3.0,0.8640776699029126,0.9081632653061225,0.8855721393034826
694,69.0,4.0,0.8316831683168316,0.8316831683168316,0.8316831683168316
695,69.0,5.0,0.7692307692307693,0.7547169811320755,0.7619047619047619
696,69.0,6.0,0.9279279279279279,0.9363636363636364,0.9321266968325792
697,69.0,7.0,0.8686868686868687,0.8775510204081632,0.8730964467005075
698,69.0,8.0,0.810126582278481,0.6808510638297872,0.7398843930635838
699,69.0,9.0,0.7553191489361702,0.8452380952380952,0.797752808988764
700,70.0,0.0,0.8876404494382022,0.9294117647058824,0.9080459770114941
701,70.0,1.0,0.9224806201550387,0.967479674796748,0.9444444444444443
702,70.0,2.0,0.8586956521739131,0.7821782178217822,0.8186528497409327
703,70.0,3.0,0.898876404494382,0.8163265306122449,0.8556149732620321
704,70.0,4.0,0.8367346938775511,0.8118811881188119,0.8241206030150754
705,70.0,5.0,0.7,0.7264150943396226,0.7129629629629629
706,70.0,6.0,0.9090909090909091,0.9090909090909091,0.9090909090909091
707,70.0,7.0,0.8461538461538461,0.8979591836734694,0.8712871287128713
708,70.0,8.0,0.7303370786516854,0.6914893617021277,0.7103825136612022
709,70.0,9.0,0.7777777777777778,0.8333333333333334,0.8045977011494253
710,71.0,0.0,0.9404761904761905,0.9294117647058824,0.9349112426035503
711,71.0,1.0,0.9302325581395349,0.975609756097561,0.9523809523809524
712,71.0,2.0,0.83,0.8217821782178217,0.8258706467661692
713,71.0,3.0,0.84,0.8571428571428571,0.8484848484848485
714,71.0,4.0,0.8235294117647058,0.8316831683168316,0.8275862068965516
715,71.0,5.0,0.8043478260869565,0.6981132075471698,0.7474747474747474
716,71.0,6.0,0.926605504587156,0.9181818181818182,0.9223744292237444
717,71.0,7.0,0.8775510204081632,0.8775510204081632,0.8775510204081631
718,71.0,8.0,0.7590361445783133,0.6702127659574468,0.7118644067796611
719,71.0,9.0,0.6893203883495146,0.8452380952380952,0.7593582887700535
720,72.0,0.0,0.9080459770114943,0.9294117647058824,0.9186046511627908
721,72.0,1.0,0.916030534351145,0.975609756097561,0.9448818897637795
722,72.0,2.0,0.8421052631578947,0.7920792079207921,0.8163265306122449
723,72.0,3.0,0.8269230769230769,0.8775510204081632,0.8514851485148514
724,72.0,4.0,0.8058252427184466,0.8217821782178217,0.8137254901960784
725,72.0,5.0,0.7840909090909091,0.6509433962264151,0.7113402061855669
726,72.0,6.0,0.9439252336448598,0.9181818181818182,0.9308755760368663
727,72.0,7.0,0.87,0.8877551020408163,0.8787878787878789
728,72.0,8.0,0.6808510638297872,0.6808510638297872,0.6808510638297872
729,72.0,9.0,0.7362637362637363,0.7976190476190477,0.7657142857142858
730,73.0,0.0,0.9186046511627907,0.9294117647058824,0.9239766081871345
731,73.0,1.0,0.9302325581395349,0.975609756097561,0.9523809523809524
732,73.0,2.0,0.8602150537634409,0.7920792079207921,0.8247422680412373
733,73.0,3.0,0.9024390243902439,0.7551020408163265,0.8222222222222222
734,73.0,4.0,0.8217821782178217,0.8217821782178217,0.8217821782178217
735,73.0,5.0,0.7555555555555555,0.6415094339622641,0.6938775510204082
736,73.0,6.0,0.9181818181818182,0.9181818181818182,0.9181818181818182
737,73.0,7.0,0.8165137614678899,0.9081632653061225,0.8599033816425121
738,73.0,8.0,0.6198347107438017,0.7978723404255319,0.6976744186046511
739,73.0,9.0,0.7974683544303798,0.75,0.7730061349693252
740,74.0,0.0,0.898876404494382,0.9411764705882353,0.9195402298850575
741,74.0,1.0,0.9230769230769231,0.975609756097561,0.9486166007905139
742,74.0,2.0,0.8404255319148937,0.7821782178217822,0.8102564102564104
