,threshold,label,precision (count),recall (count),f1 (count),precision (sum),recall (sum),f1 (sum)
216,21.0,6.0,0.9186046511627907,0.7181818181818181,0.8061224489795918,0.8048780487804879,0.9,0.8497854077253219
217,21.0,7.0,0.9310344827586207,0.5510204081632653,0.6923076923076924,0.7924528301886793,0.8571428571428571,0.8235294117647058
218,21.0,8.0,0.2219020172910663,0.8191489361702128,0.34920634920634924,0.42105263157894735,0.425531914893617,0.4232804232804233
219,21.0,9.0,0.32,0.9523809523809523,0.4790419161676646,0.6261682242990654,0.7976190476190477,0.7015706806282722
220,22.0,0.0,0.0,0.0,0.0,0.5922330097087378,0.7176470588235294,0.648936170212766
221,22.0,1.0,0.3352601156069364,0.4715447154471545,0.3918918918918919,0.7128712871287128,0.5853658536585366,0.6428571428571429
222,22.0,2.0,0.23333333333333334,0.900990099009901,0.37067209775967414,0.6915887850467289,0.7326732673267327,0.7115384615384615
223,22.0,3.0,0.5641025641025641,0.4489795918367347,0.5,0.5,0.7244897959183674,0.5916666666666667
224,22.0,4.0,0.8771929824561403,0.49504950495049505,0.6329113924050632,0.7818181818181819,0.8514851485148515,0.8151658767772512
225,22.0,5.0,0.5,0.009433962264150943,0.018518518518518517,0.3333333333333333,0.018867924528301886,0.03571428571428571
226,22.0,6.0,0.8526315789473684,0.7363636363636363,0.7902439024390244,0.8048780487804879,0.9,0.8497854077253219
227,22.0,7.0,0.8229166666666666,0.8061224489795918,0.8144329896907215,0.7924528301886793,0.8571428571428571,0.8235294117647058
228,22.0,8.0,0.0,0.0,0.0,0.42105263157894735,0.425531914893617,0.4232804232804233
229,22.0,9.0,0.6320754716981132,0.7976190476190477,0.7052631578947369,0.6261682242990654,0.7976190476190477,0.7015706806282722
230,23.0,0.0,0.0,0.0,0.0,0.5961538461538461,0.7294117647058823,0.656084656084656
231,23.0,1.0,0.72,0.43902439024390244,0.5454545454545455,0.7128712871287128,0.5853658536585366,0.6428571428571429
232,23.0,2.0,0.6990291262135923,0.7128712871287128,0.7058823529411765,0.6981132075471698,0.7326732673267327,0.714975845410628
233,23.0,3.0,0.5420560747663551,0.5918367346938775,0.5658536585365854,0.5,0.7244897959183674,0.5916666666666667
234,23.0,4.0,0.8433734939759037,0.693069306930693,0.7608695652173914,0.7818181818181819,0.8514851485148515,0.8151658767772512
235,23.0,5.0,0.35,0.0660377358490566,0.11111111111111112,0.3333333333333333,0.018867924528301886,0.03571428571428571
236,23.0,6.0,0.8706896551724138,0.9181818181818182,0.8938053097345132,0.8048780487804879,0.9,0.8497854077253219
237,23.0,7.0,0.2425,0.9897959183673469,0.38955823293172687,0.7924528301886793,0.8571428571428571,0.8235294117647058
238,23.0,8.0,0.37037037037037035,0.2127659574468085,0.2702702702702703,0.42105263157894735,0.425531914893617,0.4232804232804233
239,23.0,9.0,0.5476190476190477,0.27380952380952384,0.3650793650793651,0.6261682242990654,0.7976190476190477,0.7015706806282722
240,24.0,0.0,0.3076923076923077,0.047058823529411764,0.08163265306122448,0.5961538461538461,0.7294117647058823,0.656084656084656
241,24.0,1.0,0.0,0.0,0.0,0.7128712871287128,0.5853658536585366,0.6428571428571429
242,24.0,2.0,0.7692307692307693,0.693069306930693,0.7291666666666666,0.6981132075471698,0.7326732673267327,0.714975845410628
243,24.0,3.0,0.6666666666666666,0.04081632653061224,0.07692307692307691,0.5,0.7244897959183674,0.5916666666666667
244,24.0,4.0,0.8333333333333334,0.09900990099009901,0.1769911504424779,0.7818181818181819,0.8514851485148515,0.8151658767772512
245,24.0,5.0,0.40540540540540543,0.14150943396226415,0.2097902097902098,0.3333333333333333,0.018867924528301886,0.03571428571428571
246,24.0,6.0,0.9420289855072463,0.5909090909090909,0.7262569832402234,0.8048780487804879,0.9,0.8497854077253219
247,24.0,7.0,0.9361702127659575,0.4489795918367347,0.6068965517241379,0.7924528301886793,0.8571428571428571,0.8235294117647058
248,24.0,8.0,0.15371621621621623,0.9680851063829787,0.2653061224489796,0.42105263157894735,0.425531914893617,0.4232804232804233
249,24.0,9.0,0.4961832061068702,0.7738095238095238,0.6046511627906976,0.6261682242990654,0.7976190476190477,0.7015706806282722
250,25.0,0.0,0.3333333333333333,0.011764705882352941,0.022727272727272728,0.5961538461538461,0.7294117647058823,0.656084656084656
251,25.0,1.0,0.17647058823529413,0.024390243902439025,0.042857142857142864,0.7128712871287128,0.5853658536585366,0.6428571428571429
252,25.0,2.0,0.7763157894736842,0.5841584158415841,0.6666666666666666,0.6981132075471698,0.7326732673267327,0.714975845410628
253,25.0,3.0,0.0,0.0,0.0,0.5,0.7244897959183674,0.5916666666666667
254,25.0,4.0,0.7951807228915663,0.6534653465346535,0.7173913043478262,0.7818181818181819,0.8514851485148515,0.8151658767772512
